artist_id|artist_name|artist_no_songs|artist_no_followers
6WPmTGeeoymoVlXVtsCwz7|Kavita Krishnamurthy|26|0
5UJ2sHO2ELrgW6aXeRLTQQ|Chinmayi|74|0
74S8YRi4XQ5yf9ToSzuY80|Sunitha|23|0
2FgHPfRprDaylrSRVf1UlN|Thaman S|49|0
0oOet2f43PA68X5RxKobEy|Shreya Ghoshal|230|0
0kEZTiAxUemQeqP06npWMG|Clinton|5|0
7LnprcJdNFSrHWDZUOcjbW|Sravani|2|0
7HCfn98lJJNkmv6Gn0F2Fc|Rihitha|1|0
1EKK9k0IAwV1oeJfZITSYo|Madhushree|12|0
7xVc0E3yppOTdqFbG7fYkA|Shiraz|3|0
6Mv8GjQa7LKUGCAqa9qqdb|Vishal-Shekhar|44|0
3bAFvRjPZrpRz9Ox1sElQa|Arjun Kanungo|5|0
2Yf4MRVpt0rcAd5y5h5ph1|Caralisa Monteiro|5|0
4K4N32uNO1VRSY4hB7v8kg|Anushka Manchanda|7|0
2jqTyPt0UZGrthPF4KMpeN|Bappi Lahiri|5|0
2tlmHkQ7X88wSU0flHNy6w|Chitralekha Sen|1|0
0KDEADL3DeTLtENG3DliCd|QARAN|1|0
1QcBqYUeQ4Ux3itkdDaFi0|D. Imman|45|0
0TBQhPUEj1c5PlmTu3Hq5q|Teejay|1|0
3g6Rl18EhUhnSBEv20h8U0|Pravin Saivi|2|0
7290H8m1Dwt8G7jm1y9CQx|Chris Isaak|7|0
4gzpq5DPGxSnKTe4SA8HAU|Coldplay|18|0
2Kx7MNY7cI1ENniW7vT30N|Norah Jones|1|0
6C5gMdsVmZHJG6yJuC68sp|Beats International|2|0
5MspMQqdVbdwP6ax3GXqum|Annie Lennox|26|0
1aX2dmV8XoHYCOQRxjPESG|The Human League|7|0
0k17h0D3J5VfsdmQ1iZtE9|Pink Floyd|19|0
69Mj3u4FTUrpyeGNSIaU6F|The J. Geils Band|4|0
4qmHkMxr6pTWh5Zo74odpH|Elvis Costello & The Attractions|4|0
5BcAKTbp20cv7tC5VqPFoC|Macklemore & Ryan Lewis|4|0
7CajNmpbOovFoOoasH2HaY|Calvin Harris|15|0
0NeC6ploeJUq8oDwYQjNPS|Bomfunk MC's|1|0
4eb7QPyORtTxhMiLBo3YWK|The Outhere Brothers|2|0
