song_id|song_name|song_language|song_duration|song_popularity|album_id|song_preview_url|song_url
3F0I9AkbRwz12yz7Hxn0bF|Oh Ho Ho Ho (Remix)|Hindi|04:04|62|5wUJ0hK8HJMpf5WEotPihO|https://p.scdn.co/mp3-preview/e7e8132367802f01be5eb464dfd8ba86f55de225?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/3F0I9AkbRwz12yz7Hxn0bF
3IpEJ86hrMfUcoXCk9U4h3|Kangal Irandal|Tamil|05:22|65|047Ehzf1hblhLG5g4kuOEF|https://p.scdn.co/mp3-preview/a6e00aec20dd7f0b0c4f92b678716d6d4ec938f4?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/3IpEJ86hrMfUcoXCk9U4h3
3DjGqlbBIzrZdVtVfAwRDh|Siragugal|Tamil|05:21|63|52CB5gzimmhStbRYQANDTx|https://p.scdn.co/mp3-preview/6576ffc85bbdb732435ca941f3775e419c672134?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/3DjGqlbBIzrZdVtVfAwRDh
1ABWzwznp7BdZfp7gB3F1d|Iragai Poley|Tamil|05:17|0|2EId1cMVILUnGLffS1tphz||https://open.spotify.com/track/1ABWzwznp7BdZfp7gB3F1d
2109dBho14Lqh2wr8goqAP|Enna Solla - The New Life of Tamizh|Tamil|03:35|61|6L4ZkUiJTwo2e1E9e31ds3|https://p.scdn.co/mp3-preview/bbb33429d4c95d573b3ffcfe01273b31f0c6f396?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/2109dBho14Lqh2wr8goqAP
1f8qyYxGtcBkFfB6jDK0C2|Naani Koni|Tamil|05:26|54|5A2zbvLaMyRtmrdkudyfQl|https://p.scdn.co/mp3-preview/5f1d58d2f8f7f4df2de8d3dbbc6483c6c4d08c8b?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/1f8qyYxGtcBkFfB6jDK0C2
4ccJUGIKd3Ul2IUYetNlWB|Vizhigalil Oru Vaanavil|Tamil|06:02|57|0HFtCfwi3g3beOwAFDzgiJ|https://p.scdn.co/mp3-preview/382be96044f4f6a139f0f0dea2e10a819dee5fd8?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/4ccJUGIKd3Ul2IUYetNlWB
7xV3MCJ6YI3K4I6Jt1a9H7|Osaka Osaka|Tamil|06:08|57|4GDrPlprtCalr2sk3wbA4o|https://p.scdn.co/mp3-preview/8cc8fd9f28b63670c4ed292f0db4979ae597d3fb?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/7xV3MCJ6YI3K4I6Jt1a9H7
19ZQT32TiC6SrzeWj4O94f|Dheivangal Ellaam|Tamil|02:55|45|2NfOPK1SBnNdV3P4ZB3jBQ|https://p.scdn.co/mp3-preview/952aba7546d24b415e23f10fb01161aa7369619c?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/19ZQT32TiC6SrzeWj4O94f
1P4OiSP7ylgP3BmQyE0xx9|Ponmagal Vandaal|Tamil|03:05|62|2TbIygsV5OBPugEA04aTcy|https://p.scdn.co/mp3-preview/a51804e05fadd77a0f2a0759653f487e13dc5730?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/1P4OiSP7ylgP3BmQyE0xx9
06urexU7lv41RDdLnMzChi|Oh! Shanthi Shanthi|Tamil|03:03|60|58rfEEYCmEImlPaaqQddVF|https://p.scdn.co/mp3-preview/c6885d7bbaf8df0043e6736ab771c10985f88f36?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/06urexU7lv41RDdLnMzChi
3dn1dBimUAxhJtXnzljrWO|Yedhedo Ennangal|Tamil|04:16|48|0Bxj48Qz7ZHZsNguVOdZ0T|https://p.scdn.co/mp3-preview/93724267ec8659f1a508b698dcc4869e8a614f8f?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/3dn1dBimUAxhJtXnzljrWO
3F0QkJgY8l1PXE8cEN7W54|En Anbay|Tamil|04:46|0|7evkQUiZA993wvHtUdhDe6||https://open.spotify.com/track/3F0QkJgY8l1PXE8cEN7W54
0Tp1RG2k7xowuBTB9AhKCo|Yen Minukki|Tamil|04:00|37|3J4ywQl4Zb74OsTYFFQAIM|https://p.scdn.co/mp3-preview/49fed91976f8f92247242ba341ab2445ff25d380?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/0Tp1RG2k7xowuBTB9AhKCo
7fu8lcM9N3rVjWZr9ky6Nd|Kan Pesum Varthaigal|Tamil|05:48|57|2H6sQAg5dthRU7592LpIgb|https://p.scdn.co/mp3-preview/20c54fba49820815997a0ed3382bb2adc79d394f?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/7fu8lcM9N3rVjWZr9ky6Nd
1YzMEit17ItUmqSgqyyal0|Kaattu Sirukki|Tamil|05:53|51|7ywJmodDrksHrxbnqHSDuT|https://p.scdn.co/mp3-preview/9c3ede539af9318f99f6920f54b60d90df90c66a?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/1YzMEit17ItUmqSgqyyal0
5Y0QVhEhFplmpgqlJ95Ai1|Mun Paniya|Tamil|05:40|53|5qHNvZRqiLVrTrp3K9cPVz|https://p.scdn.co/mp3-preview/b464ff99abdf15c3a66633e39c3248032e663cad?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/5Y0QVhEhFplmpgqlJ95Ai1
6a2iHNcDSzDDz4i01V9qT3|Annalakshmi|Tamil|03:02|33|0veWiEigm8wkr9H8RZD499|https://p.scdn.co/mp3-preview/6b08257bbfad9d238f3e5a83def90785dd65cdb2?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/6a2iHNcDSzDDz4i01V9qT3
7GNf3pEmydtLMeop8HWNWV|Nethu|Tamil|03:51|40|0UJzrIeqV0yj1tpLihFk07|https://p.scdn.co/mp3-preview/406aaa6cfb1816f559f374d222cd98266b6392cc?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/7GNf3pEmydtLMeop8HWNWV
4zFslHyvzkWccR8K0HvseM|Kaadhal Mattum|Tamil|06:06|51|0dxlQXW8tDtFLCZiSHg2T5|https://p.scdn.co/mp3-preview/4ac0e20b8ffe4a496a34f21ec34a2f9b032a85b1?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/4zFslHyvzkWccR8K0HvseM
04fYoQSUTfPhVjyW8aXkix|En Jannal Vandha|Tamil|04:43|59|3JutgYHaEXEC32O2FUbo1U|https://p.scdn.co/mp3-preview/179245ce2db597faad8ee51d15a9841bada11321?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/04fYoQSUTfPhVjyW8aXkix
7FdjVvXmBLOL3sqZh47Blv|Sandai Kozhi|Tamil|04:54|51|5ew5gwOY08KDzjhPidH64L|https://p.scdn.co/mp3-preview/c0cdd051bcd8a29aeaefcb7a44b57a0e77004c24?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/7FdjVvXmBLOL3sqZh47Blv
1UIsVy7GHFKyxIDDDTVSCH|Yennodu Vaa Vaa|Tamil|04:19|46|6tzoyTXujURrI4cP3qddow|https://p.scdn.co/mp3-preview/ee0e1d257f0a78c0b49e0ffa108f98cdf96515fb?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/1UIsVy7GHFKyxIDDDTVSCH
7EmngHLT8WQhetqJFdWdcN|Lesa Parakkudhu|Tamil|04:50|38|1Jigb5xYOTeMHCsaZE3vq8|https://p.scdn.co/mp3-preview/aa6a18aa8b112097280caa0ff4dadb699a0b7ae2?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/7EmngHLT8WQhetqJFdWdcN
7k2i15C2qUMCszHLqISDJ5|Thapellam Thapeillai|Tamil|02:36|41|1Ecrny3vjkHWQLgJabEeXo|https://p.scdn.co/mp3-preview/18e08968c5260a0ad7a3be291c7daf474620b5ec?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/7k2i15C2qUMCszHLqISDJ5
3umai3byVVIwSfEZEUY7PJ|Kaattu Payale|Tamil|04:06|53|1YXlDrh64M5ttCaRXn7fp5|https://p.scdn.co/mp3-preview/54ae5b46652bb54921d54b51e697ec4021bea002?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/3umai3byVVIwSfEZEUY7PJ
2TZzayDXQdFZrrRe0bcZgW|Saamikittay|Tamil|04:47|0|78Fc0dDdyhsCzwz3LhMYYv||https://open.spotify.com/track/2TZzayDXQdFZrrRe0bcZgW
21r0QnhYxsxYUsoov5o0IF|Per Vachaalum Vaikkaama|Tamil|04:28|50|31MR3zKN2y1tEwPpI9i5j7|https://p.scdn.co/mp3-preview/fb5fe18d6c56fa10a9be2fa516d2794923d50dcc?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/21r0QnhYxsxYUsoov5o0IF
47Cd4WP1ZOK8WXC68kqZ03|Ennadi Maayavi Nee|Tamil|04:11|67|5oZttbNRyrYfBLhej6HAY7|https://p.scdn.co/mp3-preview/4c5b9db4b494e07e0ee6d34e5ff8b595a757bee8?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/47Cd4WP1ZOK8WXC68kqZ03
2bQIQnWeci309BFzz07glL|Hey Baby|Tamil|05:08|42|1nOeFhmoJdycHgRtf8KDwA|https://p.scdn.co/mp3-preview/e94912ec679758e5ff7dc83f9793f5504ee53225?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/2bQIQnWeci309BFzz07glL
5NkS71FDIjbL1r4yblMU5G|Kanave Nee Naan|Tamil|01:54|0|5wRpCFAZWIIip5sT2aPbkn||https://open.spotify.com/track/5NkS71FDIjbL1r4yblMU5G
2lgvPf2DAG6knBL9jdirvv|Kannil Anbai|Tamil|04:41|37|4CXVSyNjsAKYST67Yv88fU|https://p.scdn.co/mp3-preview/c5191bf204136c412243d5ffa7324de219ad743a?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/2lgvPf2DAG6knBL9jdirvv
00PXj8pxWLJ3apEnCPJTNI|Mudher Kanave|Tamil|05:10|68|4tNmrBZcAKKM2ZM8M2urUd|https://p.scdn.co/mp3-preview/6b94d67586f0feccd63602aed1bcac1cd217a58d?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/00PXj8pxWLJ3apEnCPJTNI
4D1Yg3cLMpEcJVol8TACBk|Damakku Damakku|Tamil|04:55|61|6WlMOPi9Fg9Ang0AzFZdJu|https://p.scdn.co/mp3-preview/b70eb5181e411beda7aba86b0fe8674d2737e25b?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/4D1Yg3cLMpEcJVol8TACBk
5KX6Wq4oyOejdBDmEoeuQJ|Pidikkudhae|Tamil|04:27|42|1D4FSyqbHuQVyyhHtzwwpp|https://p.scdn.co/mp3-preview/82c2a69a24faa79d7cd6be07b1b69c6436e4142e?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/5KX6Wq4oyOejdBDmEoeuQJ
3JHqj3WfflTssLpj1Ymsw2|Poi Vazhva|Tamil|03:59|60|1DJsqgmok3ag4GxDWkcIlb|https://p.scdn.co/mp3-preview/a669919552900084051a106a5425cb4bda410989?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/3JHqj3WfflTssLpj1Ymsw2
4NQBqInyE7zvjIiP4j1dmy|Sirikkadhey|Tamil|04:05|64|58colQLIZDAInrHq3eT2PF|https://p.scdn.co/mp3-preview/033d43363c4f9ba0ee4113d369bd0a62aee627ae?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/4NQBqInyE7zvjIiP4j1dmy
2w1fP72DhHEXuLh3wsKs3L|Suthudhu Suthudhu|Tamil|04:14|43|1SXp22hDqs3raPeHTxywSV|https://p.scdn.co/mp3-preview/6374fdd0391f508e1cf7adb0fc4f9c669e712add?cid=c5a0251f343b458da5edd6f2ab045dee|https://open.spotify.com/track/2w1fP72DhHEXuLh3wsKs3L
